"","X.1","X","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"3854",3854,2694629,1415826948,"HGR8095","NY","PAS","11/03/2016",46,"SDN","NISSA","P",30490,37690,23490,"20170325",34,34,34,945158,"0034","0000","0257A","","NY","F","241","SHERMAN AVE","","0",408,"F1",NA,"BBBBBBB","ALL","ALL","BLACK",0,2012,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3855",3855,1746937,4635276612,"HLN4179","NY","PAS","06/19/2017",36,"SUBN","NISSA","V",0,0,0,"0",NA,0,0,0,"","","0206P","","BK","","","NB CONEY ISLAND AVE","@ LOCUST AVE","0",1180,"B",TRUE,"","","","WHITE",NA,2016,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3856",3856,8212342,7368487226,"HFK3898","NY","PAS","05/17/2017",14,"4DSD","HONDA","T",11112,0,0,"20180324",10,10,10,355207,"T108","J","0943P","","NY","I","E","12th Ave","75ft S/of W 26th St","0",408,"c",NA,"YYYYYYY","","","GREY",NA,2014,"",0,"01A","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3857",3857,3883886,4627529697,"GCN4434","NY","PAS","11/28/2016",36,"4DSD","LEXUS","V",0,0,0,"0",NA,0,0,0,"","","0159P","","BK","","","NB KNAPP ST @ ALLEN","AVE","0",1180,"B",TRUE,"","","","WHITE",NA,2015,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3858",3858,4312627,8341064637,"EHT9467","NY","PAS","12/10/2016",20,"4DSD","LEXUS","T",30750,18950,70330,"20180723",75,75,75,358241,"T802","A","0911P","","K","F","1280","Croton Loop","","0",408,"d",NA,"YYYYYYY","","","BLACK",NA,2004,"",0,"O 31","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3859",3859,10421594,8164148222,"GTW9717","NY","PAS","02/07/2017",21,"SUBN","SUBAR","T",40730,24830,43130,"20180926",78,78,78,347615,"T302","Q","0947A","","K","O","12","Fiske Pl","","0",408,"d1",NA,"Y","0900A","1030A","GOLD",NA,2014,"",0,"C1","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3860",3860,4849942,8378047600,"AD76675","CT","PAS","10/23/2016",19,"4DSD","HYUND","T",76650,47020,63820,"88880088",52,52,52,355281,"Bron","A","0255A","","BX","O","152","W Fordham Rd","","0",408,"c3",NA,"YYYYYYY","","","SILVER",NA,0,"",0,"I 21","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3861",3861,8936789,8534430652,"DVBA15","FL","PAS","06/20/2017",21,"SUBN","DODGE","T",73830,0,0,"20171088",90,90,90,361084,"T301","I","1234P","","K","I","S","Ross St","40ft E/of Bedford Av","0",408,"d1",NA,"Y  Y","1130A","0100P","BLACK",NA,0,"",0,"17","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3862",3862,5654780,1420873260,"26700LV","NY","OMT","05/31/2017",98,"VAN","FORD","P",34930,41730,89180,"20180531",70,70,70,959778,"0070","0000","0840P","","K","F","950","E 3 ST","","0",408,"E5",NA,"BBBBBBB","ALL","ALL","BLACK",0,2013,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3863",3863,5013404,8044591515,"HKP8802","NY","PAS","11/24/2016",70,"2DSD","FORD","T",0,40404,40404,"20161010",109,109,109,364024,"T401","A","1102A","","Q","I","","Flushing Lot #2","","0",408,"j3",NA,"YYYYYYY","","","WHITE",NA,2016,"",0,"43 4","70A-Reg. Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3864",3864,10798923,1404795583,"GZU3911","NY","OMS","06/30/2016",20,"SUBN","HONDA","X",25645,32625,32625,"20170930",19,19,977,941895,"0977","0000","0120A","","NY","F","560","MAIN ST","","0",408,"C",NA,"BBBBBBB","ALL","ALL","GREY",0,2016,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3865",3865,6273925,7455199971,"36751MJ","NY","COM","12/21/2016",19,"DELV","MI/F","T",60790,33840,33890,"20180531",100,100,100,363123,"T402","R","0230P","","Q","F","112-32","Rockaway Beach Blvd","","0",408,"c3",NA,"YYYYYYY","","","WHITE",NA,2004,"",0,"V 42","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3866",3866,2340087,5096095370,"GYD5094","NY","PAS","04/19/2017",7,"4DSD","NISSA","V",0,0,0,"0",NA,0,0,0,"","","1127P","","QN","","","VAN WYCK EXP SVC RD","(N/B) @ ROCKAWAY BLV","0",1111,"D",TRUE,"","","","GREY",NA,0,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3867",3867,7371261,8344032076,"ARC7993","NY","PAS","12/27/2016",21,"SUBN","TOYOT","T",37505,73110,40230,"20170825",69,69,69,331325,"T302","L","0900A","","K","F","567","E 79th St","","0",408,"d1",NA,"Y","0830A","1000A","PURPLE",NA,2015,"",0,"U 32","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3868",3868,1017797,8529113275,"GSG5592","NY","PAS","05/17/2017",74,"4DSD","TOYOT","T",77150,28260,28290,"20180919",47,47,47,364863,"T201","F","0423P","","BX","F","3848","White Plains Rd","","0",408,"j2",NA,"YYYYYYY","","","WHITE",NA,2005,"",0,"18","74-Missing Display Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3869",3869,4448550,7048328356,"HBX1371","NY","PAS","02/06/2017",14,"SUBN","LEXUS","T",61090,12390,12690,"20171130",108,108,108,363042,"T401","M","0731A","","Q","F","59-01","Roosevelt Ave","","0",408,"c",NA,"YYYYY","0700A","0900A","WHITE",NA,2016,"",0,"P","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3870",3870,10684614,5092271668,"Z40BZP","NJ","PAS","06/26/2016",7,"WAGO","CHEVR","V",0,0,0,"0",NA,0,0,0,"","","0454P","","QN","","","NORTHERN BLVD (E/B)","@ 114TH ST","0",1111,"D",TRUE,"","","","BLACK",NA,2010,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3871",3871,250008,5094263961,"GDW3150","NY","PAS","11/10/2016",7,"4DSD","KIA","V",0,0,0,"0",NA,0,0,0,"","","0803A","","QN","","","VAN WYCK EXP SVC RD","(N/B) @ ROCKAWAY BLV","0",1111,"D",TRUE,"","","","WHITE",NA,2013,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3872",3872,10139712,5096605772,"92009","NY","MED","05/25/2017",7,"4DSD","HONDA","V",0,0,0,"0",NA,0,0,0,"","","0147P","","QN","","","NORTHERN BLVD (W/B)","@ DOUGLASTON PKWY","0",1111,"D",TRUE,"","","","WHITE",NA,2017,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3873",3873,4067748,8499052599,"R25DKE","NJ","PAS","04/08/2017",20,"4DSD","ME/BE","T",34670,10910,11010,"88880088",18,18,18,345536,"T506","A","0244P","","NY","F","400","W 45th St","","0",408,"d",NA,"Y","0800A","0600P","WHITE",NA,0,"",0,"10","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3874",3874,6938940,8259578189,"GVB6465","NY","PAS","04/27/2017",61,"4DSD","NISSA","T",23030,0,0,"20190204",105,105,105,363063,"T402","Y","0239P","","Q","I","W","146th Ave","5ft S/of 158th St","0",408,"m1",NA,"","","","GREY",NA,2006,"",0,"R","61-Wrong Way",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3875",3875,7070646,8486177376,"57565PC","NY","IRP","05/16/2017",48,"VAN","FRUEH","T",34630,10510,13610,"20180228",14,14,14,354205,"T106","E","0735A","","NY","F","134","W 43rd St","","0",408,"e9",NA,"YYYYYYY","","","RED",NA,2017,"",0,"36","48-Bike Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3876",3876,10260254,1413400735,"63351JM","NY","COM","10/19/2016",46,"VAN","FRUEH","P",10210,17470,17490,"0",NA,0,401,948218,"0401","0000","0409P","","NY","F","333","3RD AVE","","0",408,"E9",NA,"BBBBBBB","ALL","ALL","BROWN",0,1995,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3877",3877,3794740,5095532657,"HNJ1575","NY","PAS","03/05/2017",7,"4DSD","HONDA","V",0,0,0,"0",NA,0,0,0,"","","0625A","","MN","","","WEST ST (S/B) @ 14TH","STREET","0",1111,"D",TRUE,"","","","BLACK",NA,2005,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3879",3879,2443484,8524457466,"HMR3120","NY","PAS","03/31/2017",40,"4DSD","HONDA","T",48120,41150,63720,"20181108",43,43,43,358605,"T201","H","1027A","","BX","F","2441","Maclay Ave","","0",408,"e2",NA,"YYYYYYY","","","GREY",NA,2008,"",6,"12","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3880",3880,6149725,1408197923,"24GZ14","NY","PAS","08/14/2016",71,"MOTO","SUZUK","P",25680,23800,98280,"20110430",40,40,40,955088,"0040","0000","0800P","0759P","BX","F","220","E 134 ST","","20160814",408,"J3",NA,"BBBBBBB","ALL","ALL","RED",0,1993,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3881",3881,816290,8472565312,"MOLAHS","WI","PAS","11/25/2016",21,"4DSD","TOYOT","T",29690,35930,35950,"20170988",24,24,24,363580,"T103","AA","0947A","","NY","O","362","Riverside Dr","","0",408,"d1",NA,"Y  Y","0930A","1100A","RED",NA,0,"",0,"CC2","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3882",3882,9255639,8539659736,"2471729","IN","PAS","04/24/2017",19,"DELV","INTER","T",11710,0,0,"88880088",26,26,26,338843,"T103","B","0829A","","NY","I","E","Amsterdam Ave","10ft N/of W 114th St","0",408,"c3",NA,"YYYYYYY","","","WHITE",NA,0,"",0,"G","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3883",3883,2677406,7014683469,"FXT9004","NY","PAS","11/09/2016",74,"SUBN","NISSA","T",19410,24890,10210,"20180223",25,25,25,355229,"T103","G","1142A","","NY","F","170","E 123rd St","","0",408,"j2",NA,"","","","BLACK",NA,2007,"",0,"01 7","74-Missing Display Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3884",3884,1068384,1399262841,"83SU61","NY","PAS","09/19/2016",21,"MOTO","KAWAS","S",51090,24540,24590,"0",103,103,0,620510,"QE12","0000","0325A","","Q","F","169-07","JAMAICA AVE","","0",408,"C4",NA,"YBYBYBB","0300A","0600A","GREEN",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3885",3885,2183572,8500352474,"83582ME","NY","COM","03/25/2017",10,"DUMP","FRUEH","T",10510,34290,34310,"88880088",13,13,13,355649,"T506","C","0116P","","NY","F","777","6th Ave","","0",408,"b",NA,"YYYYYYY","","","WHITE",NA,2004,"",0,"02","10-No Stopping",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3886",3886,1633570,8339518616,"GYA6643","NY","PAS","07/12/2016",71,"CONV","ME/BE","T",29890,20390,27190,"20170424",7,7,7,362626,"T101","D","0141P","","NY","F","128","Rivington St","","0",408,"j6",NA,"YYYYYYY","","","GREY",NA,2015,"",0,"61 1","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3887",3887,4939861,4629439432,"GKK4159","NY","PAS","01/13/2017",36,"SUBN","HONDA","V",0,0,0,"0",NA,0,0,0,"","","0911A","","BK","","","EB 65TH ST @ 16TH AV","E","0",1180,"B",TRUE,"","","","GREY",NA,2001,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3888",3888,1081275,4006944421,"HFA4552","NY","PAS","02/02/2017",5,"4DSD","HONDA","V",0,0,0,"0",NA,0,0,0,"","","0826A","","BK","","","NB UTICA AVE @ SNYDE","R AVE","0",1111,"C",TRUE,"","","","BLACK",NA,2016,"",0,"","BUS LANE VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3889",3889,5467102,8041399769,"HFA9545","NY","PAS","11/07/2016",31,"SUBN","CHEVR","T",15710,35550,35570,"20180220",24,24,24,356260,"T103","F","1009A","","NY","F","610","Columbus Ave","","0",408,"l3",NA,"YYYYY","1000A","0400P","GREY",NA,2016,"",0,"39 7","31-No Stand (Com. Mtr. Zone)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3891",3891,10263650,8164111223,"GAK4677","NY","PAS","11/09/2016",21,"SUBN","TOYOT","T",10030,6980,7080,"20180907",62,62,62,355151,"T302","Q","0936A","","K","F","1934","70th St","","0",408,"d1",NA,"Y","0930A","1000A","BROWN",NA,2005,"",0,"W 32","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3892",3892,57825,1414284408,"JYL5560","PA","PAS","12/18/2016",20,"SDN","CHEVR","P",30090,31789,0,"0",13,13,1,161122,"0001","0000","1048P","","NY","O","15","RUTHERFORD PLACE","STUYVESANT SQ","0",408,"C4",NA,"BBBBBBB","ALL","ALL","RED",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3893",3893,6330389,4623277550,"27417LV","NY","OML","09/13/2016",36,"VAN","FORD","V",0,0,0,"0",NA,0,0,0,"","","1234P","","BK","","","NB NOSTRAND AVE @ SH","ORE PKWY","0",1180,"B",TRUE,"","","","WHITE",NA,2009,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3894",3894,5751922,8489878067,"CPV8778","NY","PAS","03/08/2017",46,"4DSD","NISSA","T",10730,6080,6180,"20170902",68,68,68,352956,"T302","Q","1106A","","K","F","1024","83rd St","","0",408,"f1",NA,"","","","WHITE",NA,2014,"",0,"E","46A-Double Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3895",3895,7811007,7499986676,"86569MB","NY","COM","11/16/2016",46,"VAN","CHEVR","T",19270,27790,24890,"88888888",25,25,25,361037,"T103","R","0223P","","NY","F","106","E 116th St","","0",408,"F1",NA,"","","","WHITE",NA,2011,"",0,"01 7","46B-Double Parking (Com-100Ft)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3896",3896,5009321,8266063140,"CWN838","VT","PAS","11/18/2016",21,"4DSD","VOLVO","T",32790,37570,37590,"20170788",34,34,34,359336,"T103","A","0936A","","NY","F","367","Wadsworth Ave","","0",408,"d1",NA,"Y","0930A","1100A","WHITE",NA,0,"",0,"CC3","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3897",3897,5587491,7720554966,"DAYL14","FL","PAS","07/26/2016",21,"SUBN","SUBAR","T",19530,65830,45130,"20150888",90,90,90,363529,"T301","G","0807A","","K","F","235","Berry St","","0",408,"d1",NA,"Y  Y","0800A","0930A","BLACK",NA,0,"",0,"14 3","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3898",3898,3002622,8309549325,"GTY3357","NY","PAS","12/16/2016",21,"4DSD","VOLKS","T",20130,24030,92670,"20161130",90,90,90,363470,"T301","P","1030A","","K","F","246","Boerum St","","0",408,"d1",NA,"Y  Y","0930A","1100A","GREY",NA,2015,"",0,"SPCL","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3899",3899,562230,8520209464,"FXS5893","NY","PAS","03/31/2017",40,"2DSD","HONDA","T",18550,24890,10210,"20180425",19,19,19,363533,"T103","GG","0107P","","NY","O","163","E 78th St","","0",408,"e2",NA,"YYYYYYY","","","GREY",NA,2009,"",0,"58","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3900",3900,486632,1408297425,"HDE6796","NY","PAS","09/26/2016",21,"SDN","HONDA","P",77050,76950,26820,"20180403",43,43,43,960938,"0043","0000","0909A","","BX","F","1253","WHEELER AVE","","0",408,"D1",NA,"YBBYBBB","0830A","1000A","GREY",0,1998,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3901",3901,5966407,4626431902,"DGG5242","NY","PAS","11/04/2016",36,"SUBN","HYUND","V",0,13550,0,"0",NA,0,0,0,"","","1229P","","BK","","","NB FLATBUSH AVE EXT","@ BRIDGE ST","0",1180,"B",TRUE,"","","","BLACK",NA,2014,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3902",3902,7416011,8550306198,"DNC7486","NY","PAS","05/09/2017",37,"SUBN","LEXUS","T",0,0,0,"20180129",78,78,78,357713,"T302","O","1240P","1222P","K","F","233","5th Ave","","0",408,"h1",NA,"Y","0800A","0700P","GREY",NA,2015,"302-9368",0,"56","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3903",3903,3834350,8107545060,"894887N","NJ","PAS","02/09/2017",14,"PICK","FORD","T",34310,10065,11110,"88888888",10,10,10,342900,"T501","B","0411P","","NY","F","520","W 27th St","","0",408,"c",NA,"YYYYYYY","","","BLACK",NA,0,"",0,"CC1","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3904",3904,3126610,1417897156,"12201MG","NY","COM","11/28/2016",46,"VAN","FRUEH","P",18570,25390,27790,"0",19,19,19,904776,"0019","0000","0157P","","NY","F","66","E 79 STREET","","0",408,"F1",NA,"BBBBBBB","ALL","ALL","BROWN",0,2015,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3905",3905,1339177,8539066014,"GDY5581","NY","PAS","05/15/2017",21,"SUBN","LEXUS","T",19230,86330,89730,"20180625",77,77,77,358226,"T301","C","0858A","","K","O","730","Bergen St","","0",408,"d1",NA,"Y  Y","0830A","1000A","BLACK",NA,2014,"",0,"19","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3906",3906,3602368,8523880800,"91637MC","NY","COM","05/03/2017",85,"REFG","HINO","T",26130,9640,15920,"20171130",41,41,41,355598,"T201","N","1100A","0735A","BX","O","900","E 149th St","","0",408,"k5",NA,"YYYYYYY","","","WHITE",NA,2014,"",0,"E","85-Storage-3 hour Commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3908",3908,4601040,7577585970,"GPR3458","NY","PAS","07/05/2016",71,"SUBN","ROVER","T",40320,47520,57720,"20180526",49,49,49,359570,"T202","L","0147P","","BX","F","2180","Holland Ave","","0",408,"j6",NA,"YYYYYYY","","","BLACK",NA,2005,"",0,"01 2","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3909",3909,4846065,8502701812,"HMF8286","NY","PAS","01/12/2017",70,"4DSD","NISSA","T",89930,64410,33360,"20170104",84,84,84,357357,"T301","O","0925A","","K","O","45","Water St","","0",408,"j3",NA,"YYYYYYY","","","WHITE",NA,2009,"",0,"01","70A-Reg. Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3910",3910,3199447,7559068110,"GWC2094","NY","PAS","02/21/2017",21,"4DSD","HONDA","T",41930,41330,69230,"20190118",88,88,88,357064,"T301","H","0838A","","K","F","65","Franklin Ave","","0",408,"d1",NA,"Y  Y","0830A","1000A","RED",NA,2015,"",0,"06","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3911",3911,6217183,4623681014,"T647192C","NY","OMT","09/20/2016",36,"SUBN","TOYOT","V",0,0,0,"0",NA,0,0,0,"","","1049A","","BX","","","SB GRAND CONCOURSE @","MARCY PL","0",1180,"B",TRUE,"","","","BLACK",NA,2015,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3912",3912,4999635,7008734311,"DAZ5074","NY","PAS","09/01/2016",71,"4DSD","BMW","T",23790,8190,8290,"20161004",109,109,109,363917,"T401","A","1143A","","Q","F","32-15","157th St","","0",408,"j6",NA,"YYYYYYY","","","BLACK",NA,2004,"",0,"01 4","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3913",3913,1108298,4634262265,"27456MH","NY","COM","05/18/2017",36,"VAN","ME/BE","V",0,0,0,"0",NA,0,0,0,"","","0122P","","QN","","","WB ROCKAWAY BLVD @ L","INCOLN ST","0",1180,"B",TRUE,"","","","WHITE",NA,2015,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3914",3914,5328021,8535455942,"42865JZ","NY","COM","04/14/2017",14,"VAN","GMC","T",60535,34230,44530,"88880088",84,84,84,359609,"T301","S","0941A","","K","F","4","Metrotech Ctr","","0",408,"c",NA,"YYYYYYY","","","WHITE",NA,2009,"",0,"05","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3915",3915,7721449,8076557343,"G00HZ","MD","PAS","10/20/2016",21,"4DSD","LEXUS","T",10410,18990,19010,"88880088",23,23,23,348515,"Manh","B","0748A","","NY","F","1212","5th Ave","","0",408,"d1",NA,"Y","0730A","0800A","BROWN",NA,0,"",0,"CC1","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3916",3916,10379033,7369998496,"GHN4745","NY","PAS","12/02/2016",71,"SUBN","NISSA","T",0,0,0,"20170704",45,45,45,358910,"T202","R","0231P","","BX","I","N","Schley Ave","50ft W/of Balcom Ave","0",408,"j6",NA,"YYYYYYY","","","GREY",NA,2004,"",0,"O 23","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3917",3917,9904101,8452002725,"83ST60","NY","MOT","08/09/2016",71,"MCY","NS/OT","T",63590,59490,37290,"20170430",110,110,110,361085,"T401","D","1220P","","Q","F","83-37","St James Ave","","0",408,"j6",NA,"YYYYYYY","","","BLUE",NA,0,"",0,"51-A","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3918",3918,9171602,1411423720,"GFG2284","NY","PAS","10/31/2016",98,"SDN","LINCO","P",0,40404,40404,"20170423",115,115,115,961128,"0115","0000","0134A","","Q","F","22-30","HUMFREY","","0",408,"C",NA,"BBBBBBB","ALL","ALL","BLACK",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3919",3919,3631743,8348036684,"GYM5238","NY","PAS","12/19/2016",21,"2DSD","FIAT","T",86530,5430,5580,"20170430",78,78,78,362179,"T302","O","1224P","","K","F","711","Union St","","0",408,"d1",NA,"Y","1130A","0100P","GREY",NA,2015,"",0,"56 3","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3920",3920,6218708,8498512499,"XAAE69","NJ","PAS","03/24/2017",31,"VAN","FORD","T",10110,0,0,"88880088",17,17,17,349481,"T506","F","0114P","","NY","I","E","2nd Ave","45ft S/of E 42nd St","0",408,"l3",NA,"YYYYY","0700A","0700P","WHITE",NA,0,"",0,"15","31-No Stand (Com. Mtr. Zone)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3921",3921,5881111,4632414293,"GMS1253","NY","PAS","04/03/2017",36,"CONV","AUDI","V",0,0,0,"0",NA,0,0,0,"","","1031A","","QN","","","WB ROCKAWAY BLVD @ L","INCOLN ST","0",1180,"B",TRUE,"","","","WHITE",NA,2009,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3922",3922,435251,4628094524,"FWD8836","NY","PAS","12/09/2016",36,"4DSD","ME/BE","V",0,0,0,"0",NA,0,0,0,"","","1155A","","BK","","","EB KINGS HWY @ E 23R","D ST","0",1180,"B",TRUE,"","","","WHITE",NA,2015,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3923",3923,3226733,1414526416,"HHB2043","NY","PAS","10/11/2016",21,"SDN","NISSA","S",66820,27870,27930,"20170930",52,52,0,695984,"BX07","0000","0814A","","BX","F","3318","STEUBEN AVENUE","","0",408,"D1",NA,"BYBBYBB","0800A","0830A","BLACK",0,2016,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3924",3924,9781718,7834376512,"42920MH","NY","COM","07/27/2016",46,"DUMP","PETER","T",34530,10610,10810,"20161231",18,18,18,350310,"T106","C","0649A","1200P","NY","F","210","W 38th St","","0",408,"F1",NA,"","","","GREEN",NA,2016,"",0,"31 6","46B-Double Parking (Com-100Ft)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3925",3925,3377615,7833966496,"35784JK","NY","COM","07/17/2016",46,"VAN","FORD","T",34870,10410,10510,"20161130",18,18,18,351207,"T106","M","0151P","1200P","NY","F","65","W 55th St","","0",408,"F1",NA,"","","","WHITE",NA,2015,"",0,"42 6","46B-Double Parking (Com-100Ft)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3926",3926,9613553,8034945948,"BVC9121","NY","PAS","07/05/2016",71,"SUBN","JEEP","T",30120,50920,61620,"20160821",45,45,45,357732,"T202","A","0856A","","BX","O","1604","Edison Ave","","0",408,"j6",NA,"YYYYYYY","","","RED",NA,2014,"",0,"06 2","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3927",3927,8865259,8257540754,"CYJ2790","NY","PAS","03/10/2017",23,"SUBN","BMW","T",49690,23040,64790,"20180723",107,107,107,363932,"T402","F","0527P","","Q","O","146-17","Hillside Ave","","0",408,"d2",NA,"YYYYYYY","","","WHITE",NA,2017,"",0,"11","23-No Parking (taxi stand)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
